method,budget,n,review_count,review_rate,accept_count,accept_rate,accepted_accuracy,n_false_alarm,false_alarm_reviewed,false_alarm_capture_rate,false_alarm_remaining,false_alarm_remaining_rate,false_alarm_review_yield,n_true_flashover,true_flashover_accepted,true_flashover_accept_rate,true_flashover_reviewed,true_flashover_review_rate,true_flashover_retention,helped,hurt,net_gain,helped_per_review
margin_rank,0.0500,36.0,2.0,0.05555555555555555,34.0,0.9444444444444444,0.5882352941176471,13.0,1.0,0.07692307692307693,12.0,0.9230769230769231,0.5,21.0,20.0,0.9523809523809523,1.0,0.047619047619047616,0.9523809523809523,1.0,1.0,0.0,0.5
vlm_binary_rank,0.0500,36.0,2.0,0.05555555555555555,34.0,0.9444444444444444,0.6176470588235294,13.0,2.0,0.15384615384615385,11.0,0.8461538461538461,1.0,21.0,21.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0
vlm_plus_margin_rank,0.0500,36.0,2.0,0.05555555555555555,34.0,0.9444444444444444,0.6176470588235294,13.0,2.0,0.15384615384615385,11.0,0.8461538461538461,1.0,21.0,21.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0
margin_plus_vlm_rank,0.0500,36.0,2.0,0.05555555555555555,34.0,0.9444444444444444,0.5882352941176471,13.0,1.0,0.07692307692307693,12.0,0.9230769230769231,0.5,21.0,20.0,0.9523809523809523,1.0,0.047619047619047616,0.9523809523809523,1.0,1.0,0.0,0.5
review_all_flashover,0.0500,36.0,36.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.3611111111111111,21.0,0.0,0.0,21.0,1.0,0.0,13.0,21.0,-8.0,0.3611111111111111
random_baseline_same_budget,0.0500,36.0,2.0,0.05555555555555557,34.0,0.9444444444444445,0.5858823529411764,13.0,0.795,0.06115384615384615,12.205,0.9388461538461539,0.3975,21.0,19.92,0.9485714285714286,1.08,0.05142857142857142,0.9485714285714286,0.795,1.08,-0.285,0.3975
margin_rank,0.1000,36.0,4.0,0.1111111111111111,32.0,0.8888888888888888,0.5625,13.0,1.0,0.07692307692307693,12.0,0.9230769230769231,0.25,21.0,18.0,0.8571428571428571,3.0,0.14285714285714285,0.8571428571428571,1.0,3.0,-2.0,0.25
vlm_binary_rank,0.1000,36.0,4.0,0.1111111111111111,32.0,0.8888888888888888,0.625,13.0,3.0,0.23076923076923078,10.0,0.7692307692307693,0.75,21.0,20.0,0.9523809523809523,1.0,0.047619047619047616,0.9523809523809523,3.0,1.0,2.0,0.75
vlm_plus_margin_rank,0.1000,36.0,4.0,0.1111111111111111,32.0,0.8888888888888888,0.625,13.0,3.0,0.23076923076923078,10.0,0.7692307692307693,0.75,21.0,20.0,0.9523809523809523,1.0,0.047619047619047616,0.9523809523809523,3.0,1.0,2.0,0.75
margin_plus_vlm_rank,0.1000,36.0,4.0,0.1111111111111111,32.0,0.8888888888888888,0.5625,13.0,1.0,0.07692307692307693,12.0,0.9230769230769231,0.25,21.0,18.0,0.8571428571428571,3.0,0.14285714285714285,0.8571428571428571,1.0,3.0,-2.0,0.25
