method,budget,review_rate,false_alarm_capture_rate,true_flashover_review_rate,accepted_accuracy,net_gain,frontier
vlm_binary_rank,0.0500,0.05555555555555555,0.15384615384615385,0.0,0.6176470588235294,2.0,A_capture_vs_review
vlm_plus_margin_rank,0.0500,0.05555555555555555,0.15384615384615385,0.0,0.6176470588235294,2.0,A_capture_vs_review
review_all_flashover,0.0500,1.0,1.0,1.0,0.0,-8.0,A_capture_vs_review
vlm_binary_rank,0.1000,0.1111111111111111,0.23076923076923078,0.047619047619047616,0.625,2.0,A_capture_vs_review
vlm_plus_margin_rank,0.1000,0.1111111111111111,0.23076923076923078,0.047619047619047616,0.625,2.0,A_capture_vs_review
review_all_flashover,0.1000,1.0,1.0,1.0,0.0,-8.0,A_capture_vs_review
vlm_binary_rank,0.1111,0.1111111111111111,0.23076923076923078,0.047619047619047616,0.625,2.0,A_capture_vs_review
vlm_plus_margin_rank,0.1111,0.1111111111111111,0.23076923076923078,0.047619047619047616,0.625,2.0,A_capture_vs_review
review_all_flashover,0.1111,1.0,1.0,1.0,0.0,-8.0,A_capture_vs_review
review_all_flashover,0.1500,1.0,1.0,1.0,0.0,-8.0,A_capture_vs_review
vlm_binary_rank,0.2000,0.19444444444444445,0.3076923076923077,0.14285714285714285,0.6206896551724138,1.0,A_capture_vs_review
vlm_plus_margin_rank,0.2000,0.19444444444444445,0.3076923076923077,0.14285714285714285,0.6206896551724138,1.0,A_capture_vs_review
review_all_flashover,0.2000,1.0,1.0,1.0,0.0,-8.0,A_capture_vs_review
margin_rank,0.3000,0.3055555555555556,0.46153846153846156,0.23809523809523808,0.64,1.0,A_capture_vs_review
vlm_binary_rank,0.3000,0.3055555555555556,0.46153846153846156,0.23809523809523808,0.64,1.0,A_capture_vs_review
vlm_plus_margin_rank,0.3000,0.3055555555555556,0.46153846153846156,0.23809523809523808,0.64,1.0,A_capture_vs_review
margin_plus_vlm_rank,0.3000,0.3055555555555556,0.46153846153846156,0.23809523809523808,0.64,1.0,A_capture_vs_review
review_all_flashover,0.3000,1.0,1.0,1.0,0.0,-8.0,A_capture_vs_review
random_baseline_same_budget,0.3000,0.3055555555555555,0.3269230769230769,0.29333333333333333,0.5936,-1.91,A_capture_vs_review
margin_rank,0.4000,0.3888888888888889,0.6923076923076923,0.23809523809523808,0.7272727272727273,4.0,A_capture_vs_review
margin_plus_vlm_rank,0.4000,0.3888888888888889,0.6923076923076923,0.23809523809523808,0.7272727272727273,4.0,A_capture_vs_review
review_all_flashover,0.4000,1.0,1.0,1.0,0.0,-8.0,A_capture_vs_review
margin_rank,0.5000,0.5,0.8461538461538461,0.3333333333333333,0.7777777777777778,4.0,A_capture_vs_review
vlm_binary_rank,0.5000,0.5,0.8461538461538461,0.3333333333333333,0.7777777777777778,4.0,A_capture_vs_review
vlm_plus_margin_rank,0.5000,0.5,0.8461538461538461,0.3333333333333333,0.7777777777777778,4.0,A_capture_vs_review
margin_plus_vlm_rank,0.5000,0.5,0.8461538461538461,0.3333333333333333,0.7777777777777778,4.0,A_capture_vs_review
review_all_flashover,0.5000,1.0,1.0,1.0,0.0,-8.0,A_capture_vs_review
margin_rank,0.6000,0.6111111111111112,0.9230769230769231,0.47619047619047616,0.7857142857142857,2.0,A_capture_vs_review
vlm_binary_rank,0.6000,0.6111111111111112,0.9230769230769231,0.47619047619047616,0.7857142857142857,2.0,A_capture_vs_review
vlm_plus_margin_rank,0.6000,0.6111111111111112,0.9230769230769231,0.47619047619047616,0.7857142857142857,2.0,A_capture_vs_review
margin_plus_vlm_rank,0.6000,0.6111111111111112,0.9230769230769231,0.47619047619047616,0.7857142857142857,2.0,A_capture_vs_review
review_all_flashover,0.6000,1.0,1.0,1.0,0.0,-8.0,A_capture_vs_review
vlm_binary_rank,0.0500,0.05555555555555555,0.15384615384615385,0.0,0.6176470588235294,2.0,B_capture_vs_tf_review
vlm_plus_margin_rank,0.0500,0.05555555555555555,0.15384615384615385,0.0,0.6176470588235294,2.0,B_capture_vs_tf_review
review_all_flashover,0.0500,1.0,1.0,1.0,0.0,-8.0,B_capture_vs_tf_review
vlm_binary_rank,0.1000,0.1111111111111111,0.23076923076923078,0.047619047619047616,0.625,2.0,B_capture_vs_tf_review
vlm_plus_margin_rank,0.1000,0.1111111111111111,0.23076923076923078,0.047619047619047616,0.625,2.0,B_capture_vs_tf_review
review_all_flashover,0.1000,1.0,1.0,1.0,0.0,-8.0,B_capture_vs_tf_review
vlm_binary_rank,0.1111,0.1111111111111111,0.23076923076923078,0.047619047619047616,0.625,2.0,B_capture_vs_tf_review
vlm_plus_margin_rank,0.1111,0.1111111111111111,0.23076923076923078,0.047619047619047616,0.625,2.0,B_capture_vs_tf_review
review_all_flashover,0.1111,1.0,1.0,1.0,0.0,-8.0,B_capture_vs_tf_review
review_all_flashover,0.1500,1.0,1.0,1.0,0.0,-8.0,B_capture_vs_tf_review
vlm_binary_rank,0.2000,0.19444444444444445,0.3076923076923077,0.14285714285714285,0.6206896551724138,1.0,B_capture_vs_tf_review
vlm_plus_margin_rank,0.2000,0.19444444444444445,0.3076923076923077,0.14285714285714285,0.6206896551724138,1.0,B_capture_vs_tf_review
review_all_flashover,0.2000,1.0,1.0,1.0,0.0,-8.0,B_capture_vs_tf_review
review_all_flashover,0.3000,1.0,1.0,1.0,0.0,-8.0,B_capture_vs_tf_review
margin_rank,0.4000,0.3888888888888889,0.6923076923076923,0.23809523809523808,0.7272727272727273,4.0,B_capture_vs_tf_review
