record_id,split,source,resolved_image_path,dino_top1,dino_top2,dino_top3,dino_top1_score,dino_top2_score,dino_top3_score,dino_margin
train_img11_ann79,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img11_ann79.jpg,insulator_ok,defect_flashover,defect_broken,0.954146835147308,0.0425171064444922,0.0033360584081995,0.9116297287028158
train_img11_ann80,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img11_ann80.jpg,defect_flashover,defect_broken,insulator_ok,0.7922432030808532,0.1945644263538989,0.0131923705652479,0.5976787767269542
train_img11_ann81,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img11_ann81.jpg,insulator_ok,defect_flashover,defect_broken,0.7379938959133728,0.2451987883446626,0.0168073157419645,0.4927951075687102
train_img11_ann82,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img11_ann82.jpg,insulator_ok,defect_flashover,defect_broken,0.7905712606676566,0.2042684214799649,0.0051603178523785,0.5863028391876917
train_img11_ann83,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img11_ann83.jpg,insulator_ok,defect_flashover,defect_broken,0.9555079748130982,0.0424417345210642,0.0020502906658375,0.913066240292034
train_img11_ann84,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img11_ann84.jpg,insulator_ok,defect_flashover,defect_broken,0.9714961484742992,0.022215270530886,0.0062885809948148,0.9492808779434132
train_img11_ann85,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img11_ann85.jpg,insulator_ok,defect_flashover,defect_broken,0.9141272702804172,0.0672561623150756,0.018616567404507,0.8468711079653416
train_img12_ann86,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img12_ann86.jpg,insulator_ok,defect_broken,defect_flashover,0.9035955064352384,0.0955531575554777,0.0008513360092838,0.8080423488797608
train_img12_ann87,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img12_ann87.jpg,defect_broken,insulator_ok,defect_flashover,0.9355863616566116,0.0633949645403222,0.0010186738030663,0.8721913971162893
train_img12_ann88,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img12_ann88.jpg,insulator_ok,defect_broken,defect_flashover,0.9849578958948524,0.0119352119041037,0.0031068922010437,0.9730226839907486
train_img12_ann89,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img12_ann89.jpg,insulator_ok,defect_broken,defect_flashover,0.9469363555382362,0.0510162479976386,0.0020473964641252,0.8959201075405976
train_img12_ann90,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img12_ann90.jpg,insulator_ok,defect_broken,defect_flashover,0.8992989272646958,0.0969395679188958,0.0037615048164084,0.8023593593458
train_img12_ann91,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img12_ann91.jpg,insulator_ok,defect_broken,defect_flashover,0.9393340492780916,0.0574584855726972,0.0032074651492112,0.8818755637053944
train_img12_ann92,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img12_ann92.jpg,insulator_ok,defect_flashover,defect_broken,0.9949101824627934,0.0025536015838028,0.0025362159534038,0.9923565808789906
train_img13_ann93,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img13_ann93.jpg,insulator_ok,defect_broken,defect_flashover,0.935415512821698,0.0634844717189242,0.0011000154593779,0.8719310411027738
train_img13_ann94,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img13_ann94.jpg,defect_broken,insulator_ok,defect_flashover,0.7302777757489872,0.2676806798085169,0.0020415444424958,0.4625970959404703
train_img13_ann95,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img13_ann95.jpg,insulator_ok,defect_broken,defect_flashover,0.9548384744541668,0.040184920216048,0.004976605329785,0.9146535542381188
train_img13_ann96,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img13_ann96.jpg,insulator_ok,defect_broken,defect_flashover,0.9298575105104812,0.068375682448067,0.0017668070414517,0.8614818280624141
train_img13_ann97,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img13_ann97.jpg,insulator_ok,defect_broken,defect_flashover,0.7967678966424929,0.2009737951448753,0.0022583082126316,0.5957941014976176
train_img13_ann98,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img13_ann98.jpg,insulator_ok,defect_broken,defect_flashover,0.6555905237913195,0.3379259799139761,0.0064834962947042,0.3176645438773434
train_img13_ann99,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img13_ann99.jpg,insulator_ok,defect_broken,defect_flashover,0.9844119323397358,0.0121423856229357,0.0034456820373283,0.9722695467168
train_img14_ann100,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img14_ann100.jpg,insulator_ok,defect_broken,defect_flashover,0.9911057888241644,0.0077100820208909,0.0011841291549446,0.9833957068032736
train_img14_ann101,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img14_ann101.jpg,defect_flashover,insulator_ok,defect_broken,0.677116018035215,0.1844086112175108,0.1384753707472741,0.4927074068177042
train_img14_ann102,train,gt,outputs\stage10\vlm_topk_inference_manifest\images\train_img14_ann102.jpg,insulator_ok,defect_flashover,defect_broken,0.9750232872412684,0.0130060509974729,0.0119706617612587,0.9620172362437956
